{'Time': '2026-04-13T17:58:01.981903+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18012654', 'Gig0-0_In_uPackets': '160025', 'Gig0-0_Out_Octet': '11977753', 'Gig0-0_Out_uPackets': '107522'}
{'Time': '2026-04-13T17:59:01.485679+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18013537', 'Gig0-0_In_uPackets': '160033', 'Gig0-0_Out_Octet': '11978973', 'Gig0-0_Out_uPackets': '107534'}
{'Time': '2026-04-13T18:00:01.714588+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18014483', 'Gig0-0_In_uPackets': '160042', 'Gig0-0_Out_Octet': '11980135', 'Gig0-0_Out_uPackets': '107545'}
{'Time': '2026-04-13T18:01:01.749579+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18015367', 'Gig0-0_In_uPackets': '160050', 'Gig0-0_Out_Octet': '11981294', 'Gig0-0_Out_uPackets': '107556'}
{'Time': '2026-04-13T18:02:01.859419+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18016200', 'Gig0-0_In_uPackets': '160058', 'Gig0-0_Out_Octet': '11982391', 'Gig0-0_Out_uPackets': '107566'}
{'Time': '2026-04-13T18:03:01.731080+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18017083', 'Gig0-0_In_uPackets': '160065', 'Gig0-0_Out_Octet': '11983148', 'Gig0-0_Out_uPackets': '107576'}
{'Time': '2026-04-13T18:04:01.379907+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18017967', 'Gig0-0_In_uPackets': '160073', 'Gig0-0_Out_Octet': '11984307', 'Gig0-0_Out_uPackets': '107587'}
{'Time': '2026-04-13T18:05:01.804160+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18018910', 'Gig0-0_In_uPackets': '160082', 'Gig0-0_Out_Octet': '11985467', 'Gig0-0_Out_uPackets': '107598'}
{'Time': '2026-04-13T18:06:02.168561+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18019794', 'Gig0-0_In_uPackets': '160090', 'Gig0-0_Out_Octet': '11986703', 'Gig0-0_Out_uPackets': '107610'}
{'Time': '2026-04-13T18:07:01.606834+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18020675', 'Gig0-0_In_uPackets': '160098', 'Gig0-0_Out_Octet': '11987800', 'Gig0-0_Out_uPackets': '107621'}
{'Time': '2026-04-13T18:08:01.425726+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18021558', 'Gig0-0_In_uPackets': '160106', 'Gig0-0_Out_Octet': '11988960', 'Gig0-0_Out_uPackets': '107631'}
{'Time': '2026-04-13T18:09:02.313888+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18022442', 'Gig0-0_In_uPackets': '160114', 'Gig0-0_Out_Octet': '11990119', 'Gig0-0_Out_uPackets': '107642'}
{'Time': '2026-04-13T18:10:02.161848+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18023275', 'Gig0-0_In_uPackets': '160121', 'Gig0-0_Out_Octet': '11991276', 'Gig0-0_Out_uPackets': '107653'}
{'Time': '2026-04-13T18:11:01.998919+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18024156', 'Gig0-0_In_uPackets': '160129', 'Gig0-0_Out_Octet': '11992373', 'Gig0-0_Out_uPackets': '107663'}
{'Time': '2026-04-13T18:12:01.683855+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18025039', 'Gig0-0_In_uPackets': '160137', 'Gig0-0_Out_Octet': '11993593', 'Gig0-0_Out_uPackets': '107675'}
{'Time': '2026-04-13T18:13:01.968829+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18025983', 'Gig0-0_In_uPackets': '160146', 'Gig0-0_Out_Octet': '11994752', 'Gig0-0_Out_uPackets': '107686'}
